Entity_id,Category,Summary
513,World University Rankings,Institution: Sciences Po has a score of 38 and rank of 259 on indicator overall. This university has campuses in France .
513,World University Rankings,Institution: The American University in Cairo has a score of 27.5 and rank of 418 on indicator overall. This university has campuses in Egypt .
513,World University Rankings,Institution: University of Delhi has a score of  and rank of 529 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: University of Malta has a score of  and rank of 969 on indicator overall. This university has campuses in Malta .
513,World University Rankings,Institution: Peking University has a score of 91.3 and rank of 12 on indicator overall. This university has campuses in China (Mainland) .
513,World University Rankings,Institution: Pakistan Institute of Engineering and Applied Sciences (PIEAS) has a score of 29.1 and rank of 390 on indicator overall. This university has campuses in Pakistan .
513,World University Rankings,Institution: The Hong Kong University of Science and Technology has a score of 79.8 and rank of 40 on indicator overall. This university has campuses in Hong Kong SAR .
513,World University Rankings,Institution: Lomonosov Moscow State University has a score of 66.8 and rank of 75 on indicator overall. This university has campuses in Russia .
513,World University Rankings,Institution: The University of Melbourne has a score of 81.6 and rank of 33 on indicator overall. This university has campuses in Australia .
513,World University Rankings,Institution: ETH Zurich has a score of 93.6 and rank of 9 on indicator overall. This university has campuses in Switzerland .
513,World University Rankings,"Institution: The University of Sydney has a score of 79.6 and rank of 41 on indicator overall. This university has campuses in Australia, France, Singapore, China (Mainland) ."
513,World University Rankings,Institution: Tel Aviv University has a score of 37.9 and rank of 261 on indicator overall. This university has campuses in Israel .
513,World University Rankings,Institution: Universidad Metropolitana has a score of  and rank of 1309 on indicator overall. This university has campuses in Venezuela .
513,World University Rankings,Institution: Ecole des Ponts ParisTech has a score of 46.5 and rank of 174 on indicator overall. This university has campuses in France .
513,World University Rankings,Institution: University of Latvia has a score of  and rank of 1160 on indicator overall. This university has campuses in Latvia .
513,World University Rankings,Institution: Pontificia Universidad Católica de Chile (UC) has a score of 54.9 and rank of 121 on indicator overall. This university has campuses in Chile .
513,World University Rankings,Institution: UCL has a score of 95 and rank of 8 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: McGill University has a score of 81.9 and rank of 31 on indicator overall. This university has campuses in Canada .
513,World University Rankings,Institution: Princess Sumaya University for Technology has a score of  and rank of 886 on indicator overall. This university has campuses in Jordan .
513,World University Rankings,Institution: The Hebrew University of Jerusalem has a score of 41.5 and rank of 223 on indicator overall. This university has campuses in Israel .
513,World University Rankings,Institution: University of Witwatersrand has a score of 27.1 and rank of 431 on indicator overall. This university has campuses in South Africa .
513,World University Rankings,Institution: Imperial College London has a score of 97 and rank of 7 on indicator overall. This university has campuses in United Kingdom .
513,World University Rankings,Institution: University of Ghana has a score of  and rank of 1372 on indicator overall. This university has campuses in Ghana .
513,World University Rankings,Institution: University of Waterloo has a score of 50 and rank of 154 on indicator overall. This university has campuses in Canada .
513,World University Rankings,Institution: Universidad de Montevideo (UM) has a score of 26.2 and rank of 452 on indicator overall. This university has campuses in Uruguay .
513,World University Rankings,"Institution: Tsinghua University has a score of 90.1 and rank of 14 on indicator overall. This university has campuses in China (Mainland), Singapore, United Arab Emirates, France ."
513,World University Rankings,Institution: United Arab Emirates University has a score of 35.4 and rank of 297 on indicator overall. This university has campuses in United Arab Emirates .
513,World University Rankings,Institution: Tecnológico de Monterrey has a score of 47.1 and rank of 170 on indicator overall. This university has campuses in Mexico .
513,World University Rankings,"Institution: Carnegie Mellon University has a score of 74.6 and rank of 52 on indicator overall. This university has campuses in United States, Qatar, Australia, Rwanda, Portugal ."
513,World University Rankings,Institution: Indian Institute of Technology Delhi (IITD) has a score of 46.5 and rank of 175 on indicator overall. This university has campuses in India .
513,World University Rankings,Institution: Singapore Management University – School of Computing and Information Systems has a score of  and rank of 571 on indicator overall. This university has campuses in Singapore .
513,World University Rankings,"Institution: Nanyang Technological University, Singapore (NTU Singapore) has a score of 88.4 and rank of 19 on indicator overall. This university has campuses in Singapore ."
513,World University Rankings,Institution: University of Wisconsin-Madison has a score of 63.7 and rank of 83 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Tallinn University of Technology (TalTech) has a score of  and rank of 723 on indicator overall. This university has campuses in Estonia .
513,World University Rankings,Institution: University of Washington has a score of 64.7 and rank of 80 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Keio University has a score of 44.1 and rank of 197 on indicator overall. This university has campuses in Japan .
513,World University Rankings,Institution: Tecnológico de Costa Rica -TEC has a score of  and rank of 911 on indicator overall. This university has campuses in Costa Rica .
513,World University Rankings,Institution: University of Maribor has a score of  and rank of 970 on indicator overall. This university has campuses in Slovenia .
513,World University Rankings,Institution: King Saud University has a score of 39.4 and rank of 237 on indicator overall. This university has campuses in Saudi Arabia .
513,World University Rankings,Institution: Tufts University has a score of 34.1 and rank of 313 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: National Chengchi University has a score of  and rank of 621 on indicator overall. This university has campuses in Taiwan .
513,World University Rankings,Institution: University of Dubai has a score of  and rank of 956 on indicator overall. This university has campuses in United Arab Emirates .
513,World University Rankings,Institution: Sharif University of Technology has a score of 29.6 and rank of 380 on indicator overall. This university has campuses in Iran .
513,World University Rankings,Institution: Thammasat University has a score of  and rank of 686 on indicator overall. This university has campuses in Thailand .
513,World University Rankings,Institution: University of Virginia has a score of 38.3 and rank of 255 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: KTH Royal Institute of Technology  has a score of 62.1 and rank of 89 on indicator overall. This university has campuses in Sweden .
513,World University Rankings,Institution: Western University has a score of 46.7 and rank of 173 on indicator overall. This university has campuses in Canada .
513,World University Rankings,Institution: University of Nairobi has a score of  and rank of 1166 on indicator overall. This university has campuses in Kenya .
513,World University Rankings,Institution: Boston University has a score of 57.2 and rank of 108 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Macau University of Science and Technology has a score of  and rank of 584 on indicator overall. This university has campuses in Macau SAR .
513,World University Rankings,Institution: Yerevan State University has a score of  and rank of 1006 on indicator overall. This university has campuses in Armenia .
513,World University Rankings,Institution: Aalto University has a score of 55.9 and rank of 116 on indicator overall. This university has campuses in Finland .
513,World University Rankings,Institution: University of Tartu has a score of 35.4 and rank of 299 on indicator overall. This university has campuses in Estonia .
513,World University Rankings,"Institution: The Chinese University of Hong Kong (CUHK) has a score of 80.6 and rank of 38 on indicator overall. This university has campuses in Hong Kong SAR, China (Mainland) ."
